Region,District,Constituency,Sub County,Parish,village
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,ABIL NINO SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,ARWAKARA
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,ATHEDER NORTH
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,ATHEDER SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,BEDATA EAST
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,BEDATA SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,BEDATA WEST
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,DIC PE EAST
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,DIC PE WEST
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,KOYA,OLILIM
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,MONYANG,OLILIM
KARAMOJA,ABIM,LABWOR COUNTY,MAGAMAGA,GULOTWORO,OLILIM
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,BARTANGA CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,BARTANGA EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,BARTANGA NORTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,BARTANGA SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,LOKETO EAST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,NADIKETH
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,NYIKINYIKI
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,ORWAMUGE,TYEN OPOK EAST
