No,District,County,Subcounty
79,MPIGI,MAWOKOTA,NKOZI
80,MUBENDE,BUWEKULA,BAGEZZA
81,MUBENDE,BUWEKULA,BUTOLOOGO
82,MUBENDE,BUWEKULA,KASAMBYA
83,MUBENDE,BUWEKULA,KITENGA
84,MUBENDE,BUWEKULA,KIYUNI
85,MUBENDE,BUWEKULA,MADUDU
86,MUBENDE,BUWEKULA,MUBENDE TC
87,MUBENDE,KASSANDA,BUKUYA
88,MUBENDE,KASSANDA,KASSANDA
89,MUBENDE,KASSANDA,KIGANDA
90,MUBENDE,KASSANDA,MYANZI
91,MUKONO,BUIKWE,BUIKWE
92,MUKONO,BUIKWE,KAWOLO
93,MUKONO,BUIKWE,LUGAZI TC
94,MUKONO,BUIKWE,NAJJA
95,MUKONO,BUIKWE,NAJJEMBE
96,MUKONO,BUIKWE,NGOGWE
97,MUKONO,BUIKWE,NJERU TC
98,MUKONO,BUIKWE,NKOKONJERU TC
99,MUKONO,BUIKWE,NYENGA
100,MUKONO,BUIKWE,SSI-BUKUNJA
101,MUKONO,BUIKWE,WAKISI
102,MUKONO,BUVUMA,BUGAYA
103,MUKONO,BUVUMA,BUSAMUZI
104,MUKONO,BUVUMA,BWEEMA
105,MUKONO,BUVUMA,NAIRAMBI
106,MUKONO,MUKONO,GOMA
107,MUKONO,MUKONO,KKOME ISLANDS
108,MUKONO,MUKONO,KYAMPISI
109,MUKONO,MUKONO,MUKONO TC
110,MUKONO,MUKONO,NAKISUNGA
111,MUKONO,MUKONO,NAMA
112,MUKONO,MUKONO,NTENJERU
113,MUKONO,NAKIFUMA,KASAWO
114,MUKONO,NAKIFUMA,KIMENYEDDE
115,MUKONO,NAKIFUMA,NABAALE
116,MUKONO,NAKIFUMA,NAGOJJE
117,MUKONO,NAKIFUMA,NTUNDA
118,MUKONO,NAKIFUMA,SEETA-NAMUGANGA
607,NAKAPIRIPIRIT,CHEKWII,KAKOMONGOLE
608,NAKAPIRIPIRIT,CHEKWII,MORUITA
609,NAKAPIRIPIRIT,CHEKWII,NAKAPIRIPIRIT TC
610,NAKAPIRIPIRIT,CHEKWII,NAMALU
611,NAKAPIRIPIRIT,PIAN,LOLACHAT
612,NAKAPIRIPIRIT,PIAN,LORENGEDWAT
613,NAKAPIRIPIRIT,PIAN,NABILATUK
614,NAKAPIRIPIRIT,POKOT,AMUDAT
615,NAKAPIRIPIRIT,POKOT,KARITA
616,NAKAPIRIPIRIT,POKOT,LOROO
196,NAKASEKE,NAKASEKE,KAPEEKA
197,NAKASEKE,NAKASEKE,KASANGOMBE
198,NAKASEKE,NAKASEKE,KIKAMULO
199,NAKASEKE,NAKASEKE,NAKASEKE
200,NAKASEKE,NAKASEKE,NGOMA
201,NAKASEKE,NAKASEKE,SEMUTO
202,NAKASEKE,NAKASEKE,WAKYATO
119,NAKASONGOLA,BURULI,KAKOOGE
120,NAKASONGOLA,BURULI,KALONGO
121,NAKASONGOLA,BURULI,KALUNGI
122,NAKASONGOLA,BURULI,LWABYATA
123,NAKASONGOLA,BURULI,LWAMPANGA
124,NAKASONGOLA,BURULI,NABISWERA
125,NAKASONGOLA,BURULI,NAKASONGOLA TC
126,NAKASONGOLA,BURULI,NAKITOMA
127,NAKASONGOLA,BURULI,WABINYONYI
465,NAMUTUMBA,BUSIKI,BULANGE
466,NAMUTUMBA,BUSIKI,IVUKULA
467,NAMUTUMBA,BUSIKI,KIBAALE
468,NAMUTUMBA,BUSIKI,MAGADA
469,NAMUTUMBA,BUSIKI,NAMUTUMBA
470,NAMUTUMBA,BUSIKI,NSINZE
588,NEBBI,JONAM,PAKWACH
589,NEBBI,JONAM,PAKWACH TC
590,NEBBI,JONAM,PANYANGO
591,NEBBI,JONAM,PANYIMUR
592,NEBBI,JONAM,WADELAI
593,NEBBI,OKORO,ATYAK
594,NEBBI,OKORO,JANGOKORO
595,NEBBI,OKORO,KANGO
596,NEBBI,OKORO,NYAPEA
597,NEBBI,OKORO,PAIDHA
598,NEBBI,OKORO,PAIDHA TC
599,NEBBI,OKORO,ZEU
600,NEBBI,PADYERE,AKWORO
601,NEBBI,PADYERE,ERUSSI
602,NEBBI,PADYERE,KUCWINY
603,NEBBI,PADYERE,NEBBI
604,NEBBI,PADYERE,NEBBI TC
605,NEBBI,PADYERE,NYARAVUR
606,NEBBI,PADYERE,PAROMBO
866,NTUNGAMO,KAJARA,BWONGYERA
867,NTUNGAMO,KAJARA,IHUNGA
868,NTUNGAMO,KAJARA,KIBATSI
869,NTUNGAMO,KAJARA,NYABIHOKO
870,NTUNGAMO,RUHAAMA,ITOJO
871,NTUNGAMO,RUHAAMA,NTUNGAMO
872,NTUNGAMO,RUHAAMA,NTUNGAMO TC
873,NTUNGAMO,RUHAAMA,NYAKYERA
874,NTUNGAMO,RUHAAMA,RUHAAMA
875,NTUNGAMO,RUHAAMA,RUKONI
876,NTUNGAMO,RUHAAMA,RWEIKINIRO
877,NTUNGAMO,RUSHENYI,KAYONZA
878,NTUNGAMO,RUSHENYI,NGOMA
879,NTUNGAMO,RUSHENYI,RUBAARE
880,NTUNGAMO,RUSHENYI,RUGARAMA
679,NYADRI,MARACHA,YIVU
680,NYADRI,MARACHA,NYADRI
681,NYADRI,MARACHA,OLEBA
682,NYADRI,MARACHA,OLUVU
683,NYADRI,MARACHA,TARA
684,NYADRI,MARACHA,OLUFFE
685,NYADRI,MARACHA,KIJOMORO
686,NYADRI,TEREGO,AII-VU
687,NYADRI,TEREGO,BELEAFE
688,NYADRI,TEREGO,KATRINI
689,NYADRI,TEREGO,ODUPI
690,NYADRI,TEREGO,OMUGO
691,NYADRI,TEREGO,URIAMA
692,OYAM,OYAM,ABER
693,OYAM,OYAM,ACABA
694,OYAM,OYAM,ICEME
695,OYAM,OYAM,LORO
696,OYAM,OYAM,MINAKULU
697,OYAM,OYAM,NGAI
698,OYAM,OYAM,OTWAL
617,PADER,ARUU,ACHOLIBUR
618,PADER,ARUU,ATANGA
619,PADER,ARUU,AWER
620,PADER,ARUU,KILAK
621,PADER,ARUU,LAGUTI
622,PADER,ARUU,LAPUL
623,PADER,ARUU,PADER TC
624,PADER,ARUU,PAJULE
625,PADER,ARUU,PURANGA
626,PADER,AGAGO,WOL
627,PADER,AGAGO,ADILANG
628,PADER,AGAGO,LAPONO
629,PADER,AGAGO,LIRA PALWO
630,PADER,AGAGO,LUKOLE
631,PADER,AGAGO,OMOT
632,PADER,AGAGO,PAIMOL
633,PADER,AGAGO,PARABONGO
634,PADER,AGAGO,PATONGO
323,PALLISA,BUTEBO,BUTEBO
324,PALLISA,BUTEBO,KABWANGASI
325,PALLISA,BUTEBO,KAKORO
326,PALLISA,BUTEBO,KIBALE
327,PALLISA,BUTEBO,PETETE
328,PALLISA,KIBUKU,BULANGIRA
329,PALLISA,KIBUKU,BUSETA
330,PALLISA,KIBUKU,KIBUKU
331,PALLISA,KIBUKU,KADAMA
332,PALLISA,KIBUKU,TIRINYI
333,PALLISA,KIBUKU,KAGUMU
334,PALLISA,KIBUKU,KIRIKA
335,PALLISA,PALLISA,AGULE
336,PALLISA,PALLISA,APOPONG
337,PALLISA,PALLISA,GOGONYO
338,PALLISA,PALLISA,KAMEKE
339,PALLISA,PALLISA,KASODO
340,PALLISA,PALLISA,PALLISA
341,PALLISA,PALLISA,PALLISA TC
342,PALLISA,PALLISA,PUTI-PUTI
343,PALLISA,PALLISA,KAMUGE
128,RAKAI,KAKUUTO,KAKUUTO
129,RAKAI,KAKUUTO,KASASA
130,RAKAI,KAKUUTO,KIBANDA
131,RAKAI,KAKUUTO,KIFAMBA
132,RAKAI,KAKUUTO,KYEBE
133,RAKAI,KOOKI,BYAKABANDA
134,RAKAI,KOOKI,DDWANIRO
135,RAKAI,KOOKI,KACHEERA
136,RAKAI,KOOKI,KAGAMBA (BUYAMBA)
137,RAKAI,KOOKI,KYALULANGIRA
138,RAKAI,KOOKI,LWAMAGGWA
139,RAKAI,KOOKI,LWANDA
140,RAKAI,KOOKI,RAKAI TC
141,RAKAI,KYOTERA,KABIRA
142,RAKAI,KYOTERA,KALISIZO
143,RAKAI,KYOTERA,KASAALI
144,RAKAI,KYOTERA,KIRUMBA
145,RAKAI,KYOTERA,KYOTERA TC
146,RAKAI,KYOTERA,LWANKONI
147,RAKAI,KYOTERA,NABIGASA
881,RUKUNGIRI,RUBABO,BUYANJA
882,RUKUNGIRI,RUBABO,KEBISONI
883,RUKUNGIRI,RUBABO,NYAKISHENYI
884,RUKUNGIRI,RUBABO,NYARUSHANJE
885,RUKUNGIRI,BUJUMBURA,BUGANGARI
886,RUKUNGIRI,BUJUMBURA,BUHUNGA
887,RUKUNGIRI,BUJUMBURA,BWAMBARA
888,RUKUNGIRI,BUJUMBURA,KAGUNGA
889,RUKUNGIRI,BUJUMBURA,NYAKAGYEME
890,RUKUNGIRI,BUJUMBURA,RUHINDA
891,RUKUNGIRI,BUJUMBURA,RUKUNGIRI TC
394,SIRONKO,BUDADIRI,BUHUGU
395,SIRONKO,BUDADIRI,BUMASIFWA
396,SIRONKO,BUDADIRI,BUSULANI
397,SIRONKO,BUDADIRI,BUTANDIGA
398,SIRONKO,BUDADIRI,BUTEZA
399,SIRONKO,BUDADIRI,BUWALASI
400,SIRONKO,BUDADIRI,BUYOBO
401,SIRONKO,BUDADIRI,SIRONKO TC
402,SIRONKO,BUDADIRI,ZESUI
403,SIRONKO,BUDADIRI,BUKHULO
404,SIRONKO,BULAMBULI,BUGINYANYA
405,SIRONKO,BULAMBULI,BUKHALU
406,SIRONKO,BULAMBULI,BULAGO
407,SIRONKO,BULAMBULI,BULEGENI
408,SIRONKO,BULAMBULI,BULUGANYA
409,SIRONKO,BULAMBULI,BUNAMBUTYE
410,SIRONKO,BULAMBULI,MASIIRA
411,SIRONKO,BULAMBULI,MUYEMBE
412,SIRONKO,BULAMBULI,SISIYI
344,SOROTI,KASILO,BUGONDO
345,SOROTI,KASILO,KADUNGULU
346,SOROTI,KASILO,PINGIRE
347,SOROTI,SERERE,ATIIRA
348,SOROTI,SERERE,KATETA
349,SOROTI,SERERE,KYERE
350,SOROTI,SERERE,OLIO
351,SOROTI,SOROTI,ARAPAI
352,SOROTI,SOROTI,ASURET
353,SOROTI,SOROTI,GWERI
354,SOROTI,SOROTI,KAMUDA
355,SOROTI,SOROTI,KATINE
356,SOROTI,SOROTI,SOROTI
357,SOROTI,SOROTI,TUBUR
358,SOROTI,SOROTI MUNICIPALITY,EASTERN DIVISION
359,SOROTI,SOROTI MUNICIPALITY,NORTHERN DIVISION
360,SOROTI,SOROTI MUNICIPALITY,WESTERN DIVISION
148,SSEMBABULE,LWEMIYAGA,LWEMIYAGA
149,SSEMBABULE,LWEMIYAGA,NTUSI
150,SSEMBABULE,MAWOGOLA,LUGUSULU
151,SSEMBABULE,MAWOGOLA,LWEBITAKULI
152,SSEMBABULE,MAWOGOLA,MATEETE
153,SSEMBABULE,MAWOGOLA,MIJWALA
154,SSEMBABULE,MAWOGOLA,SEMBABULE TC
361,TORORO,TORORO,KWAPA
362,TORORO,TORORO,MELLA
363,TORORO,TORORO,MERIKIT
364,TORORO,TORORO,MOLO
365,TORORO,TORORO,MUKUJU
366,TORORO,TORORO,OSUKURU
367,TORORO,TORORO MUNICIPALITY,EASTERN DIVISION
368,TORORO,TORORO MUNICIPALITY,WESTERN DIVISION
369,TORORO,WEST BUDAMA (KISOLO),IYOLWA
370,TORORO,WEST BUDAMA (KISOLO),KIREWA
371,TORORO,WEST BUDAMA (KISOLO),KISOKO
372,TORORO,WEST BUDAMA (KISOLO),MULANDA
373,TORORO,WEST BUDAMA (KISOLO),NABUYOGA
374,TORORO,WEST BUDAMA (KISOLO),NAGONGERA
375,TORORO,WEST BUDAMA (KISOLO),PAYA
376,TORORO,WEST BUDAMA (KISOLO),PETTA
377,TORORO,WEST BUDAMA (KISOLO),RUBONGI
164,WAKISO,BUSIRO,KAKIRI
165,WAKISO,BUSIRO,KASANJE
166,WAKISO,BUSIRO,KATABI
167,WAKISO,BUSIRO,MASULITA
168,WAKISO,BUSIRO,NAMAYUMBA
169,WAKISO,BUSIRO,NSANGI
170,WAKISO,BUSIRO,SSISA
171,WAKISO,BUSIRO,WAKISO
172,WAKISO,BUSIRO,WAKISO TC
173,WAKISO,ENTEBBE MUNICIPALITY,DIVISION A
174,WAKISO,ENTEBBE MUNICIPALITY,DIVISION B
175,WAKISO,KYADONDO,BUSUKUMA
176,WAKISO,KYADONDO,GOMBE
177,WAKISO,KYADONDO,KIRA
178,WAKISO,KYADONDO,NABWERU
179,WAKISO,KYADONDO,NANGABO
180,WAKISO,KYADONDO,SSABAGABO-MAKINDYE
635,YUMBE,ARINGA,APO
636,YUMBE,ARINGA,DRAJANI
637,YUMBE,ARINGA,KEI
638,YUMBE,ARINGA,KURU
639,YUMBE,ARINGA,MIDIGO
640,YUMBE,ARINGA,ODRAVU
641,YUMBE,ARINGA,ROMOGI
642,YUMBE,ARINGA,YUMBE TC
